backend,experts_per_rank,channels,repeat,rank,returncode,dispatch_bandwidth_gbps,avg_us,min_us,max_us,log_file
rc_gda,4,2,1,2,0,51.01,148.72,142.08,156.86,ep4/channels2_repeat1.log
rc_gda,4,2,1,3,0,50.87,149.11,142.69,157.06,ep4/channels2_repeat1.log
rc_gda,4,2,2,0,0,50.8,149.32,142.3,156.96,ep4/channels2_repeat2.log
rc_gda,4,2,2,1,0,50.67,149.7,143.2,156.58,ep4/channels2_repeat2.log
rc_gda,4,2,2,2,0,50.78,149.37,142.56,157.25,ep4/channels2_repeat2.log
rc_gda,4,2,2,3,0,50.85,149.18,142.78,157.12,ep4/channels2_repeat2.log
rc_gda,4,4,0,0,0,52.55,144.36,140.67,148.9,ep4/channels4_repeat0.log
rc_gda,4,4,0,1,0,52.37,144.84,139.17,149.41,ep4/channels4_repeat0.log
rc_gda,4,4,0,2,0,52.53,144.41,138.85,152.9,ep4/channels4_repeat0.log
rc_gda,4,4,0,3,0,52.53,144.41,136.58,150.85,ep4/channels4_repeat0.log
rc_gda,4,4,1,0,0,52.5,144.49,138.66,150.94,ep4/channels4_repeat1.log
rc_gda,4,4,1,1,0,52.34,144.94,140.16,149.41,ep4/channels4_repeat1.log
rc_gda,4,4,1,2,0,52.5,144.49,140.61,149.09,ep4/channels4_repeat1.log
rc_gda,4,4,1,3,0,52.49,144.51,138.72,151.74,ep4/channels4_repeat1.log
rc_gda,4,4,2,0,0,52.49,144.52,139.84,151.14,ep4/channels4_repeat2.log
rc_gda,4,4,2,1,0,52.32,145.0,141.18,149.34,ep4/channels4_repeat2.log
rc_gda,4,4,2,2,0,52.46,144.59,138.85,149.12,ep4/channels4_repeat2.log
rc_gda,4,4,2,3,0,52.49,144.51,138.56,148.96,ep4/channels4_repeat2.log
rc_gda,4,8,0,0,0,52.34,144.93,139.1,152.45,ep4/channels8_repeat0.log
rc_gda,4,8,0,1,0,52.52,144.44,140.7,150.85,ep4/channels8_repeat0.log
rc_gda,4,8,0,2,0,52.5,144.48,138.94,148.9,ep4/channels8_repeat0.log
rc_gda,4,8,0,3,0,52.52,144.44,138.78,148.9,ep4/channels8_repeat0.log
rc_gda,4,8,1,0,0,52.66,144.06,136.32,150.53,ep4/channels8_repeat1.log
rc_gda,4,8,1,1,0,52.52,144.43,138.62,148.9,ep4/channels8_repeat1.log
rc_gda,4,8,1,2,0,52.51,144.47,140.58,152.83,ep4/channels8_repeat1.log
rc_gda,4,8,1,3,0,52.51,144.45,138.66,150.75,ep4/channels8_repeat1.log
rc_gda,4,8,2,0,0,52.43,144.69,139.14,151.42,ep4/channels8_repeat2.log
rc_gda,4,8,2,1,0,52.58,144.27,138.88,150.91,ep4/channels8_repeat2.log
rc_gda,4,8,2,2,0,52.56,144.33,138.85,151.1,ep4/channels8_repeat2.log
rc_gda,4,8,2,3,0,52.62,144.16,138.66,151.68,ep4/channels8_repeat2.log
rc_gda,4,16,0,0,0,52.45,144.63,138.53,153.18,ep4/channels16_repeat0.log
rc_gda,4,16,0,1,0,52.47,144.58,138.69,153.02,ep4/channels16_repeat0.log
rc_gda,4,16,0,2,0,52.44,144.65,138.69,148.96,ep4/channels16_repeat0.log
rc_gda,4,16,0,3,0,52.5,144.48,138.62,150.98,ep4/channels16_repeat0.log
rc_gda,4,16,1,0,0,52.39,144.79,139.14,151.39,ep4/channels16_repeat1.log
rc_gda,4,16,1,1,0,52.54,144.37,138.62,151.01,ep4/channels16_repeat1.log
rc_gda,4,16,1,2,0,52.56,144.33,138.59,149.15,ep4/channels16_repeat1.log
rc_gda,4,16,1,3,0,52.56,144.32,140.61,148.93,ep4/channels16_repeat1.log
rc_gda,4,16,2,0,0,52.52,144.45,138.98,150.94,ep4/channels16_repeat2.log
